Feature_ID	Female_108 - Total gene reads	Male_108 - Total gene reads
TR503|c0_g1_i1	39	12
TR503|c0_g2_i1	0	29
TR504|c0_g1_i1	54	0
TR504|c0_g2_i1	0	3
TR505|c0_g1_i1	9	22
TR506|c0_g1_i1	20	4
TR507|c0_g1_i1	0	15
TR508|c0_g1_i1	14	21
TR509|c0_g1_i1	1	8
TR510|c0_g1_i1	5	1
TR511|c0_g1_i1	6	10
TR512|c0_g1_i1	0	4
TR512|c0_g2_i1	5	11
TR513|c0_g1_i1	1	24
TR514|c0_g1_i1	13	16
TR515|c0_g1_i1	7	5
TR515|c0_g2_i1	5	5
TR516|c0_g1_i1	5	17
TR517|c0_g1_i1	195	181
TR517|c0_g2_i1	0	38
TR518|c0_g1_i1	6	6
TR519|c0_g1_i1	79	76
TR520|c0_g1_i1	10	1
TR521|c0_g1_i1	18	18
TR522|c0_g1_i1	0	114
TR522|c0_g2_i1	620	490
TR523|c0_g1_i1	113	145
TR524|c0_g1_i1	1	0
TR524|c0_g2_i1	8	11
TR525|c0_g1_i1	4	7
TR526|c0_g1_i1	0	5
TR526|c1_g1_i1	1	5
TR527|c0_g1_i1	13	2
TR527|c0_g2_i1	42	0
TR528|c0_g1_i1	16	9
TR529|c0_g1_i1	132	55
TR530|c0_g1_i1	7	13
TR531|c0_g1_i1	17	4
TR532|c0_g1_i1	14	11
TR533|c0_g1_i1	11	0
TR533|c0_g2_i1	1	2
TR534|c0_g1_i1	4	5
TR534|c1_g1_i1	7	9
TR535|c0_g1_i1	1	10
TR536|c0_g1_i1	0	18
TR536|c0_g2_i1	7	5
TR537|c0_g1_i1	7	18
TR538|c0_g1_i1	1	6
TR538|c0_g2_i1	3	3
TR539|c0_g1_i1	1	17
TR540|c0_g1_i1	7	4
TR541|c0_g1_i1	13	32
TR542|c0_g1_i1	19	27
TR542|c0_g2_i1	0	6
TR543|c0_g1_i1	4	11
TR544|c0_g1_i1	65	56
TR545|c0_g1_i1	9	14
TR546|c0_g1_i1	6	9
TR547|c0_g1_i1	103	136
TR548|c0_g1_i1	1	3
TR549|c0_g1_i1	4	12
TR550|c0_g1_i1	0	20
TR550|c0_g2_i1	8	6
TR551|c0_g1_i1	28	8
TR552|c0_g1_i1	10	0
TR552|c0_g2_i1	3	6
TR553|c0_g1_i1	10	10
TR554|c0_g1_i1	16	37
TR554|c0_g2_i1	0	0
TR555|c0_g1_i1	0	0
TR556|c0_g1_i1	1	11
TR557|c0_g1_i1	0	3
TR557|c0_g2_i1	10	15
TR558|c0_g1_i1	26	3
TR559|c0_g1_i1	4	3
TR559|c0_g2_i1	0	0
TR560|c0_g1_i1	0	11
TR560|c0_g2_i1	4	32
TR561|c0_g1_i1	20	19
TR562|c0_g1_i1	8	5
TR563|c0_g1_i1	32	12
TR563|c0_g2_i1	0	48
TR564|c0_g1_i1	36	25
TR565|c0_g1_i1	54	48
TR565|c0_g2_i1	30	15
TR566|c0_g1_i1	13	9
TR567|c0_g1_i1	13	0
TR567|c0_g2_i1	63	104
TR568|c0_g1_i1	5	11
TR569|c0_g1_i1	5	33
TR570|c0_g1_i1	12	5
TR571|c0_g1_i1	1	2
TR571|c0_g2_i1	0	0
TR572|c0_g1_i1	5	5
TR573|c0_g1_i1	4	6
TR573|c0_g2_i1	0	3
TR574|c0_g1_i1	5	7
TR575|c0_g1_i1	11	4
TR576|c0_g1_i1	1	2
TR576|c0_g2_i1	1	9
TR577|c0_g1_i1	7	2
TR578|c0_g1_i1	1	7
TR578|c0_g2_i1	1	3
TR579|c0_g1_i1	9	9
TR580|c0_g1_i1	20	35
TR581|c0_g1_i1	15	33
TR582|c0_g1_i1	7	8
TR583|c0_g1_i1	10	26
TR584|c0_g1_i1	8	18
TR585|c0_g1_i1	1	0
TR585|c0_g2_i1	0	0
TR586|c0_g1_i1	5	6
TR587|c0_g1_i1	0	2
TR587|c0_g2_i1	5	2
TR588|c0_g1_i1	1	0
TR588|c0_g2_i1	0	3
TR589|c0_g1_i1	3	0
TR589|c0_g2_i1	0	12
